"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"124","2019-08-06","12:43:19","66:00","6.066",,,
"124","2019-08-06","12:43:19","66:10","6.279",,,
"124","2019-08-06","12:43:19","66:20","6.401",,,
"124","2019-08-06","12:43:19","66:30","5.822",,,
"124","2019-08-06","12:43:19","66:40","5.029",,,
"124","2019-08-06","12:43:19","66:50","4.602",,,
"124","2019-08-06","12:43:19","67:00","4.237",,,
"124","2019-08-06","12:43:19","67:10","4.938",,,
"124","2019-08-06","12:43:19","67:20","4.968",,,
"124","2019-08-06","12:43:19","67:30","5.029",,,
"124","2019-08-06","12:43:19","67:40","4.968",,,
"124","2019-08-06","12:43:19","67:50","5.7",,,
"124","2019-08-06","12:43:19","68:00","5.517",,,
"124","2019-08-06","12:43:19","68:10","4.755",,,
"124","2019-08-06","12:43:19","68:20","4.755",,,
"124","2019-08-06","12:43:19","68:30","4.999",,,
"124","2019-08-06","12:43:19","68:40","4.663",,,
"124","2019-08-06","12:43:19","68:50","4.846",,,
"124","2019-08-06","12:43:19","69:00","4.907",,,
"124","2019-08-06","12:43:19","69:10","4.968",,,
"124","2019-08-06","12:43:19","69:20","4.938",,,
"124","2019-08-06","12:43:19","69:30","5.212",,,
"124","2019-08-06","12:43:19","69:40","5.06",,,
"124","2019-08-06","12:43:19","69:50","5.09",,,
"124","2019-08-06","12:43:19","70:00","4.938",,,
"124","2019-08-06","12:43:19","70:10","4.663",,,
"124","2019-08-06","12:43:19","70:20","4.663",,,
"124","2019-08-06","12:43:19","70:30","5.06",,,
"124","2019-08-06","12:43:19","70:40","5.06",,,
"124","2019-08-06","12:43:19","70:50","4.816",,,
"124","2019-08-06","12:43:19","71:00","5.212",,,
"124","2019-08-06","12:43:19","71:10","5.212",,,
"124","2019-08-06","12:43:19","71:20","5.09",,,
"124","2019-08-06","12:43:19","71:30","4.877",,,
"124","2019-08-06","12:43:19","71:40","4.816",,,
"124","2019-08-06","12:43:19","71:50","4.907",,,
"124","2019-08-06","12:43:19","72:00","4.938",,,
"124","2019-08-06","12:43:19","72:10","5.456",,,
"124","2019-08-06","12:43:19","72:20","5.547",,,
"124","2019-08-06","12:43:19","72:30","5.944",,,
"124","2019-08-06","12:43:19","72:40","5.73",,,
"124","2019-08-06","12:43:19","72:50","5.151",,,
"124","2019-08-06","12:43:19","73:00","4.663",,,
"124","2019-08-06","12:43:19","73:10","4.572",,,
"124","2019-08-06","12:43:19","73:20","4.694",,,
"124","2019-08-06","12:43:19","73:30","4.572",,,
"124","2019-08-06","12:43:19","73:40","4.907",,,
"124","2019-08-06","12:43:19","73:50","5.395",,,
"124","2019-08-06","12:43:19","74:00","5.06",,,
"124","2019-08-06","12:43:19","74:10","5.121",,,
"124","2019-08-06","12:43:19","74:20","4.846",,,
"124","2019-08-06","12:43:19","74:30","4.511",,,
"124","2019-08-06","12:43:19","74:40","4.328",,,
"124","2019-08-06","12:43:19","74:50","4.176",,,
"124","2019-08-06","12:43:19","75:00","3.993",,,
"124","2019-08-06","12:43:19","75:10","4.633",,,
"124","2019-08-06","12:43:19","75:20","4.846",,,
"124","2019-08-06","12:43:19","75:30","4.542",,,
"124","2019-08-06","12:43:19","75:40","4.42",,,
"124","2019-08-06","12:43:19","75:50","4.572",,,
"124","2019-08-06","12:43:19","76:00","4.846",,,
"124","2019-08-06","12:43:19","76:10","4.602",,,
"124","2019-08-06","12:43:19","76:20","4.999",,,
"124","2019-08-06","12:43:19","76:30","5.395",,,
"124","2019-08-06","12:43:19","76:40","4.481",,,
"124","2019-08-06","12:43:19","76:50","4.328",,,
"124","2019-08-06","12:43:19","77:00","4.938",,,
"124","2019-08-06","12:43:19","77:10","5.7",,,
"124","2019-08-06","12:43:19","77:20","5.06",,,
"124","2019-08-06","12:43:19","77:30","5.09",,,
"124","2019-08-06","12:43:19","77:40","4.602",,,
"124","2019-08-06","12:43:19","77:50","4.694",,,
