OTU	B001	B002	B003	B004	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP033	BMSP032	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu2329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0
Zotu233	0	0	0	0	325	54	0	0	0	0	0	0	0	15	14	0	0	0	0	0	93	2	0	5	0	0	56	48	4	11	0	0	0	0	135	0	89	5	0	0	0
Zotu2333	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	3	58	0	0	0	0	0	0	0	0	2	0	0	0	0
Zotu2339	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2341	0	0	0	0	9	0	0	0	0	0	0	0	0	8	2	0	0	1	5	0	0	21	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0
Zotu2346	0	0	0	0	0	0	0	8	4	0	0	0	0	0	14	34	0	4	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
Zotu2348	0	0	0	0	0	0	0	0	0	0	0	0	0	6	21	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2354	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	34	17	0	0	0	0	0	0	0
Zotu236	0	0	0	0	79	140	0	16	0	0	1	56	0	145	122	0	157	17	39	0	62	146	7	0	8	0	43	95	4	1	8	0	2	0	82	0	81	28	0	0	0
Zotu2363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	12	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
